* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control. Timing signal peak level -19.8 dBFS, measurement signal peak level -19.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 8:52:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0214 ms (-7.3 mm, -0.29 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 2.0 ppm
* Measurement: Ziigaat Luna grey L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 95.854 7.3427
20.299999 95.862 7.2030
20.600000 95.885 7.0295
20.900000 95.914 6.7786
21.200001 95.941 6.4441
21.400000 95.954 6.1893
21.799999 95.961 5.6675
22.000000 95.957 5.4288
22.400000 95.944 5.0352
22.700001 95.936 4.8069
23.000000 95.937 4.6044
23.299999 95.945 4.3917
23.600000 95.957 4.1422
24.000000 95.973 3.7415
24.299999 95.979 3.4044
24.700001 95.979 2.9423
25.000000 95.976 2.6074
25.400000 95.970 2.1921
25.799999 95.966 1.8114
26.200001 95.966 1.4501
26.500000 95.970 1.1788
26.900000 95.978 0.8013
27.200001 95.984 0.5034
27.600000 95.990 0.0988
28.000000 95.994 -0.2883
28.500000 95.999 -0.7228
29.000000 96.014 -1.1418
29.500000 96.034 -1.6302
30.000000 96.041 -2.1973
30.400000 96.027 -2.6292
30.700001 96.008 -2.8865
31.100000 95.982 -3.1139
31.500000 95.969 -3.2463
32.000000 95.976 -3.4224
32.500000 95.992 -3.7340
33.000000 95.992 -4.1461
33.500000 95.973 -4.5138
34.000000 95.952 -4.7630
34.500000 95.947 -4.9622
35.000000 95.956 -5.2249
35.500000 95.963 -5.5814
36.000000 95.960 -5.9771
36.500000 95.953 -6.3585
37.000000 95.949 -6.7206
37.500000 95.946 -7.0718
38.200001 95.941 -7.5145
38.700001 95.943 -7.7926
39.500000 95.960 -8.3119
40.000000 95.965 -8.7294
40.599998 95.947 -9.2192
41.200001 95.916 -9.5533
41.799999 95.894 -9.7324
42.500000 95.892 -9.9225
43.099998 95.895 -10.1655
43.700001 95.892 -10.4631
44.400002 95.878 -10.8186
45.000000 95.858 -11.0847
45.500000 95.842 -11.2531
46.200001 95.832 -11.4276
46.799999 95.840 -11.6230
47.500000 95.853 -12.0311
48.200001 95.840 -12.5710
48.700001 95.811 -12.9214
49.400002 95.760 -13.2772
50.000000 95.721 -13.5060
50.799999 95.672 -13.7975
51.500000 95.626 -13.9938
52.200001 95.595 -14.1199
53.000000 95.587 -14.3436
53.799999 95.585 -14.7672
54.500000 95.570 -15.2169
55.200001 95.547 -15.6112
56.000000 95.533 -15.9739
57.000000 95.540 -16.4772
58.000000 95.544 -16.9815
59.000000 95.564 -17.5035
60.000000 95.540 -18.2598
60.799999 95.460 -18.5485
61.500000 95.408 -18.4181
62.200001 95.399 -18.2970
63.000000 95.397 -18.4387
64.000000 95.365 -18.7457
65.000000 95.326 -19.0242
66.000000 95.279 -19.3656
67.000000 95.229 -19.6979
68.000000 95.192 -20.0680
69.000000 95.153 -20.4562
70.000000 95.118 -20.7555
71.000000 95.093 -21.0424
72.000000 95.066 -21.3500
73.000000 95.033 -21.6323
74.000000 94.996 -21.8831
75.000000 94.958 -22.1174
76.199997 94.910 -22.4108
77.500000 94.864 -22.7245
78.800003 94.821 -23.1674
80.000000 94.762 -23.6016
81.199997 94.704 -23.8950
82.500000 94.655 -24.1873
83.800003 94.606 -24.4541
85.000000 94.568 -24.6991
86.199997 94.526 -24.9708
87.500000 94.475 -25.2222
88.500000 94.439 -25.3680
90.000000 94.395 -25.6600
91.199997 94.350 -25.9439
92.500000 94.296 -26.2305
93.800003 94.235 -26.4860
95.000000 94.180 -26.6774
96.199997 94.127 -26.8823
97.500000 94.067 -27.1311
98.800003 94.008 -27.3538
100.000000 93.962 -27.5333
101.500000 93.914 -27.7927
103.000000 93.864 -28.0458
104.400002 93.817 -28.2721
106.000000 93.753 -28.5598
107.500000 93.677 -28.7751
109.000000 93.603 -28.9066
110.599998 93.536 -29.0906
112.000000 93.476 -29.3046
113.800003 93.395 -29.5545
115.000000 93.344 -29.6572
117.199997 93.257 -29.8130
118.000000 93.224 -29.8381
120.599998 93.127 -30.0852
122.000000 93.049 -30.3151
124.099998 92.933 -30.5461
125.000000 92.890 -30.6468
126.500000 92.827 -30.8106
128.000000 92.768 -30.9487
131.500000 92.622 -31.1593
132.000000 92.600 -31.1808
134.000000 92.515 -31.2919
136.000000 92.424 -31.4173
138.000000 92.333 -31.4503
140.000000 92.249 -31.4888
143.000000 92.119 -31.6051
145.000000 92.036 -31.7169
147.500000 91.925 -31.8214
150.000000 91.815 -31.8498
152.500000 91.702 -31.8995
155.000000 91.590 -31.9349
157.500000 91.484 -31.9071
160.000000 91.383 -31.8766
162.500000 91.282 -31.8492
165.000000 91.193 -31.8286
167.500000 91.117 -31.7239
170.000000 91.049 -31.5760
172.500000 90.968 -31.4980
175.000000 90.869 -31.4501
177.500000 90.750 -31.3882
180.000000 90.602 -31.2950
182.500000 90.428 -31.0360
185.000000 90.270 -30.6252
187.500000 90.134 -30.2410
190.000000 89.994 -29.8921
192.500000 89.848 -29.5088
195.000000 89.707 -28.9583
197.500000 89.584 -28.0256
200.000000 89.493 -26.7311
203.000000 89.441 -24.9980
206.000000 89.501 -22.9509
209.000000 89.736 -21.6370
212.000000 89.990 -21.9459
214.000000 90.092 -22.6762
218.000000 90.113 -24.0831
220.000000 90.060 -24.6058
224.000000 89.918 -25.3790
227.000000 89.799 -25.6301
230.000000 89.674 -25.5442
233.000000 89.557 -25.3243
236.000000 89.466 -25.1565
240.000000 89.347 -24.8701
243.000000 89.244 -24.5693
247.000000 89.103 -24.3221
250.000000 89.001 -24.1528
254.000000 88.909 -23.6920
258.000000 88.843 -23.1530
262.000000 88.738 -22.4742
265.000000 88.672 -21.8998
269.000000 88.589 -21.3223
272.000000 88.516 -20.9769
276.000000 88.433 -20.6649
280.000000 88.346 -20.2120
285.000000 88.234 -19.2955
290.000000 88.156 -18.5800
295.000000 88.082 -17.9176
300.000000 87.976 -17.6010
304.000000 87.876 -16.9484
307.000000 87.815 -16.2215
311.000000 87.747 -15.3285
315.000000 87.695 -14.4344
320.000000 87.632 -13.2922
325.000000 87.563 -11.9249
330.000000 87.588 -10.4181
335.000000 87.750 -9.0721
340.000000 87.933 -8.3801
345.000000 88.014 -8.4260
350.000000 88.013 -8.6739
355.000000 87.982 -8.8522
360.000000 87.937 -8.9009
365.000000 87.875 -8.5917
370.000000 87.813 -8.1865
375.000000 87.767 -7.7911
382.000000 87.717 -7.1147
387.000000 87.686 -6.5392
395.000000 87.656 -5.6333
400.000000 87.639 -5.1138
406.000000 87.624 -4.4778
412.000000 87.620 -3.8405
418.000000 87.604 -3.1553
425.000000 87.589 -2.4275
431.000000 87.587 -1.8721
437.000000 87.581 -1.3124
444.000000 87.576 -0.6926
450.000000 87.578 -0.1568
455.000000 87.581 0.3262
462.000000 87.585 0.9860
468.000000 87.587 1.5082
475.000000 87.592 2.0841
482.000000 87.596 2.6628
487.000000 87.603 3.0852
494.000000 87.622 3.7108
500.000000 87.640 4.1942
508.000000 87.663 4.7404
515.000000 87.675 5.2374
522.000000 87.685 5.7904
530.000000 87.700 6.4188
538.000000 87.714 7.0414
545.000000 87.731 7.5519
552.000000 87.752 8.0161
560.000000 87.777 8.5273
570.000000 87.806 9.2288
580.000000 87.833 9.9005
590.000000 87.861 10.5748
600.000000 87.891 11.1844
608.000000 87.910 11.6775
615.000000 87.927 12.1487
622.000000 87.947 12.6149
630.000000 87.973 13.1049
640.000000 88.015 13.6720
650.000000 88.061 14.2856
660.000000 88.096 14.8998
670.000000 88.126 15.4786
680.000000 88.162 16.0881
690.000000 88.200 16.7245
700.000000 88.240 17.2858
710.000000 88.278 17.8344
720.000000 88.315 18.3660
730.000000 88.353 18.9492
740.000000 88.397 19.5303
750.000000 88.441 20.1069
762.000000 88.495 20.8206
775.000000 88.558 21.5187
788.000000 88.617 22.2151
800.000000 88.671 22.8702
812.000000 88.730 23.5441
825.000000 88.795 24.2512
838.000000 88.867 24.9233
850.000000 88.941 25.5379
862.000000 89.015 26.1732
875.000000 89.090 26.8436
885.000000 89.150 27.3295
900.000000 89.245 28.0358
912.000000 89.324 28.5860
925.000000 89.413 29.1865
938.000000 89.502 29.7164
950.000000 89.579 30.1758
962.000000 89.660 30.6498
975.000000 89.756 31.1548
988.000000 89.852 31.6284
1000.000000 89.938 32.0406
1015.000000 90.049 32.4886
1030.000000 90.159 32.8679
1044.000000 90.261 33.2461
1060.000000 90.375 33.6566
1075.000000 90.487 33.9757
1090.000000 90.601 34.2658
1106.000000 90.715 34.5186
1120.000000 90.813 34.7044
1138.000000 90.936 34.9326
1150.000000 91.015 35.0555
1172.000000 91.160 35.2119
1180.000000 91.212 35.2622
1206.000000 91.380 35.3986
1220.000000 91.468 35.4539
1241.000000 91.598 35.5614
1250.000000 91.656 35.6068
1265.000000 91.757 35.6606
1280.000000 91.857 35.6831
1315.000000 92.041 35.7097
1320.000000 92.065 35.7122
1340.000000 92.165 35.7088
1360.000000 92.264 35.7064
1380.000000 92.366 35.7387
1400.000000 92.468 35.7751
1430.000000 92.620 35.8341
1450.000000 92.721 35.8958
1475.000000 92.842 35.9683
1500.000000 92.959 36.0215
1525.000000 93.075 36.0789
1550.000000 93.189 36.1547
1575.000000 93.301 36.2391
1600.000000 93.412 36.2998
1625.000000 93.521 36.3584
1650.000000 93.630 36.4065
1675.000000 93.739 36.4477
1700.000000 93.850 36.4874
1725.000000 93.962 36.5318
1750.000000 94.075 36.5641
1775.000000 94.190 36.5635
1800.000000 94.307 36.5394
1825.000000 94.423 36.5104
1850.000000 94.543 36.4612
1875.000000 94.666 36.3808
1900.000000 94.791 36.2747
1925.000000 94.917 36.1487
1950.000000 95.044 35.9982
1975.000000 95.173 35.8294
2000.000000 95.304 35.6201
2030.000000 95.462 35.3017
2060.000000 95.616 34.9395
2090.000000 95.770 34.5465
2120.000000 95.924 34.0873
2140.000000 96.024 33.7422
2180.000000 96.221 32.9879
2200.000000 96.318 32.5793
2240.000000 96.507 31.6805
2270.000000 96.643 30.9351
2300.000000 96.768 30.1437
2330.000000 96.883 29.3120
2360.000000 96.987 28.4436
2400.000000 97.111 27.2581
2430.000000 97.195 26.3698
2470.000000 97.302 25.2072
2500.000000 97.384 24.3262
2540.000000 97.497 23.0452
2580.000000 97.596 21.5452
2620.000000 97.660 19.8657
2650.000000 97.678 18.5680
2690.000000 97.665 16.8784
2720.000000 97.632 15.6951
2760.000000 97.565 14.2386
2800.000000 97.482 12.9163
2850.000000 97.360 11.4429
2900.000000 97.221 10.1152
2950.000000 97.064 8.9311
3000.000000 96.895 7.8966
3040.000000 96.748 7.1898
3070.000000 96.631 6.7502
3110.000000 96.471 6.2918
3150.000000 96.308 5.9730
3200.000000 96.104 5.7291
3250.000000 95.901 5.6115
3300.000000 95.697 5.5900
3350.000000 95.500 5.6718
3400.000000 95.312 5.8690
3450.000000 95.141 6.1738
3500.000000 94.984 6.5800
3550.000000 94.833 7.1033
3600.000000 94.681 7.7306
3650.000000 94.526 8.4629
3700.000000 94.368 9.3248
3750.000000 94.219 10.2835
3820.000000 94.052 11.7761
3870.000000 93.981 12.9324
3950.000000 93.986 14.7937
4000.000000 94.054 15.8690
4060.000000 94.191 17.0200
4120.000000 94.362 17.9551
4180.000000 94.548 18.6310
4250.000000 94.766 19.1215
4310.000000 94.939 19.3142
4370.000000 95.092 19.3193
4440.000000 95.244 19.1667
4500.000000 95.355 18.9459
4550.000000 95.436 18.7122
4620.000000 95.535 18.3063
4680.000000 95.612 17.9124
4750.000000 95.696 17.3955
4820.000000 95.772 16.7952
4870.000000 95.821 16.3029
4940.000000 95.882 15.5282
5000.000000 95.926 14.7726
5080.000000 95.970 13.6248
5150.000000 95.994 12.5018
5220.000000 96.000 11.2864
