* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control. Timing signal peak level -19.1 dBFS, measurement signal peak level -11.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 8:53:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0213 ms (-7.3 mm, -0.29 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 2.4 ppm
* Measurement: Ziigaat Luna grey R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 97.064 9.4177
20.299999 96.512 7.2511
20.600000 95.982 6.9741
20.900000 95.650 8.1188
21.200001 95.595 9.5365
21.400000 95.674 10.0791
21.799999 95.916 9.7095
22.000000 96.005 8.9495
22.400000 96.052 7.0845
22.700001 96.006 5.9396
23.000000 95.960 5.2137
23.299999 95.961 4.7538
23.600000 96.017 4.2610
24.000000 96.112 3.2228
24.299999 96.140 2.2365
24.700001 96.091 1.1099
25.000000 96.020 0.7015
25.400000 95.968 0.7916
25.799999 96.026 1.1302
26.200001 96.164 1.0784
26.500000 96.261 0.6483
26.900000 96.320 -0.2114
27.200001 96.306 -0.7977
27.600000 96.252 -1.2135
28.000000 96.221 -1.2298
28.500000 96.259 -1.1910
29.000000 96.328 -1.5959
29.500000 96.343 -2.3405
30.000000 96.295 -2.9695
30.400000 96.250 -3.2651
30.700001 96.226 -3.4343
31.100000 96.199 -3.6979
31.500000 96.154 -3.9982
32.000000 96.056 -4.1564
32.500000 95.969 -3.8188
33.000000 95.975 -3.2828
33.500000 96.064 -3.2563
34.000000 96.120 -3.9758
34.500000 96.062 -4.8854
35.000000 95.946 -5.2800
35.500000 95.915 -5.2515
36.000000 96.018 -5.7574
36.500000 96.124 -7.4900
37.000000 96.065 -9.9994
37.500000 95.808 -12.0681
38.200001 95.419 -12.8033
38.700001 95.348 -12.6848
39.500000 95.332 -13.7716
40.000000 95.147 -14.1216
40.599998 94.949 -12.0962
41.200001 95.233 -8.6847
41.799999 95.887 -7.5626
42.500000 96.416 -9.6492
43.099998 96.463 -11.7681
43.700001 96.307 -12.5629
44.400002 96.126 -11.8651
45.000000 96.059 -10.6499
45.500000 96.079 -9.7166
46.200001 96.165 -9.2306
46.799999 96.190 -9.6276
47.500000 96.117 -10.4135
48.200001 95.991 -11.2222
48.700001 95.873 -11.7208
49.400002 95.708 -11.8706
50.000000 95.691 -11.6187
50.799999 95.850 -12.4194
51.500000 95.859 -14.2648
52.200001 95.673 -15.2255
53.000000 95.593 -14.5582
53.799999 95.750 -14.3923
54.500000 95.823 -15.2061
55.200001 95.782 -15.8088
56.000000 95.741 -15.9225
57.000000 95.742 -16.1835
58.000000 95.712 -16.6147
59.000000 95.695 -16.9500
60.000000 95.700 -17.5344
60.799999 95.675 -18.1577
61.500000 95.625 -18.5828
62.200001 95.571 -18.7999
63.000000 95.531 -18.9132
64.000000 95.507 -19.0771
65.000000 95.488 -19.2749
66.000000 95.464 -19.5442
67.000000 95.428 -19.8708
68.000000 95.389 -20.1618
69.000000 95.358 -20.4701
70.000000 95.325 -20.8016
71.000000 95.293 -21.1083
72.000000 95.266 -21.4141
73.000000 95.241 -21.7427
74.000000 95.212 -22.0815
75.000000 95.175 -22.3933
76.199997 95.124 -22.6766
77.500000 95.069 -22.9147
78.800003 95.015 -23.1069
80.000000 94.977 -23.3412
81.199997 94.939 -23.7344
82.500000 94.873 -24.1821
83.800003 94.815 -24.4481
85.000000 94.779 -24.7494
86.199997 94.735 -25.0674
87.500000 94.681 -25.3198
88.500000 94.643 -25.4775
90.000000 94.587 -25.7652
91.199997 94.539 -25.9431
92.500000 94.502 -26.1437
93.800003 94.456 -26.4556
95.000000 94.402 -26.7102
96.199997 94.346 -26.9965
97.500000 94.280 -27.3858
98.800003 94.204 -27.7957
100.000000 94.138 -28.0122
101.500000 94.087 -28.2327
103.000000 94.018 -28.4594
104.400002 93.941 -28.3822
106.000000 93.890 -28.3665
107.500000 93.833 -28.6431
109.000000 93.776 -28.8729
110.599998 93.727 -29.0366
112.000000 93.682 -29.1311
113.800003 93.601 -29.3784
115.000000 93.534 -29.7736
117.199997 93.438 -31.1959
118.000000 93.419 -32.0776
120.599998 93.095 -33.6051
122.000000 93.078 -32.0504
124.099998 93.210 -30.9127
125.000000 93.220 -30.7399
126.500000 93.169 -30.7057
128.000000 93.059 -30.8634
131.500000 92.865 -31.1011
132.000000 92.852 -31.1146
134.000000 92.807 -31.2016
136.000000 92.724 -31.4774
138.000000 92.609 -31.7388
140.000000 92.527 -32.0150
143.000000 92.411 -32.1184
145.000000 92.349 -31.6588
147.500000 92.230 -31.3634
150.000000 92.069 -31.2257
152.500000 91.940 -31.6002
155.000000 91.802 -31.8796
157.500000 91.656 -31.9009
160.000000 91.506 -31.9918
162.500000 91.426 -31.9573
165.000000 91.404 -31.9296
167.500000 91.362 -31.4720
170.000000 91.327 -31.1339
172.500000 91.271 -31.3990
175.000000 91.176 -31.4939
177.500000 91.054 -31.0953
180.000000 90.929 -30.7222
182.500000 90.807 -30.7499
185.000000 90.689 -30.7369
187.500000 90.599 -30.5244
190.000000 90.510 -30.4178
192.500000 90.440 -30.3221
195.000000 90.389 -30.3877
197.500000 90.282 -30.3391
200.000000 90.153 -29.7585
203.000000 90.025 -29.0294
206.000000 89.921 -27.9913
209.000000 89.825 -27.0569
212.000000 89.769 -26.3060
214.000000 89.770 -25.9475
218.000000 89.770 -25.6093
220.000000 89.761 -25.5813
224.000000 89.771 -25.6721
227.000000 89.773 -25.5400
230.000000 89.732 -25.3763
233.000000 89.660 -25.4644
236.000000 89.565 -25.6678
240.000000 89.402 -25.4138
243.000000 89.305 -24.9773
247.000000 89.209 -24.5961
250.000000 89.137 -24.2675
254.000000 89.046 -23.6980
258.000000 88.975 -23.3060
262.000000 88.886 -22.8655
265.000000 88.819 -22.4766
269.000000 88.743 -21.9407
272.000000 88.690 -21.5793
276.000000 88.615 -21.1368
280.000000 88.548 -20.6367
285.000000 88.473 -19.8032
290.000000 88.404 -19.1013
295.000000 88.333 -18.4706
300.000000 88.220 -17.8020
304.000000 88.159 -17.2827
307.000000 88.136 -16.8998
311.000000 88.097 -16.3886
315.000000 88.050 -15.9252
320.000000 88.013 -15.2919
325.000000 87.987 -14.6565
330.000000 87.953 -13.8870
335.000000 87.914 -12.8329
340.000000 87.860 -12.0704
345.000000 87.814 -11.6907
350.000000 87.783 -11.2111
355.000000 87.757 -10.5392
360.000000 87.752 -9.7720
365.000000 87.762 -9.3182
370.000000 87.759 -8.9576
375.000000 87.722 -8.3312
382.000000 87.673 -7.4684
387.000000 87.652 -6.9519
395.000000 87.634 -6.0453
400.000000 87.630 -5.5184
406.000000 87.615 -4.8643
412.000000 87.619 -4.1604
418.000000 87.642 -3.5173
425.000000 87.644 -2.7776
431.000000 87.628 -2.2125
437.000000 87.622 -1.7432
444.000000 87.622 -1.0998
450.000000 87.619 -0.5234
455.000000 87.625 -0.0482
462.000000 87.638 0.6165
468.000000 87.645 1.0795
475.000000 87.654 1.5795
482.000000 87.655 2.1364
487.000000 87.660 2.5735
494.000000 87.679 3.3049
500.000000 87.709 3.8330
508.000000 87.742 4.3999
515.000000 87.752 4.9273
522.000000 87.764 5.5139
530.000000 87.794 6.1341
538.000000 87.812 6.6755
545.000000 87.821 7.1248
552.000000 87.832 7.5059
560.000000 87.831 7.9659
570.000000 87.863 8.7089
580.000000 87.899 9.4048
590.000000 87.930 9.9790
600.000000 87.963 10.6926
608.000000 87.990 11.2687
615.000000 88.013 11.6917
622.000000 88.033 12.1024
630.000000 88.060 12.6240
640.000000 88.100 13.2407
650.000000 88.138 13.7974
660.000000 88.166 14.4037
670.000000 88.195 15.0391
680.000000 88.231 15.5876
690.000000 88.267 16.1155
700.000000 88.302 16.6962
710.000000 88.330 17.2969
720.000000 88.367 17.8792
730.000000 88.413 18.4059
740.000000 88.456 18.9825
750.000000 88.496 19.5701
762.000000 88.544 20.2786
775.000000 88.602 20.9670
788.000000 88.661 21.6772
800.000000 88.715 22.3735
812.000000 88.774 23.0602
825.000000 88.843 23.7850
838.000000 88.908 24.4669
850.000000 88.970 25.0652
862.000000 89.042 25.6310
875.000000 89.121 26.2902
885.000000 89.183 26.8448
900.000000 89.272 27.5769
912.000000 89.347 28.1291
925.000000 89.434 28.7039
938.000000 89.524 29.2729
950.000000 89.613 29.7823
962.000000 89.700 30.2697
975.000000 89.790 30.7556
988.000000 89.881 31.2138
1000.000000 89.965 31.6237
1015.000000 90.070 32.1022
1030.000000 90.177 32.5244
1044.000000 90.279 32.8925
1060.000000 90.400 33.2953
1075.000000 90.514 33.6008
1090.000000 90.622 33.8735
1106.000000 90.736 34.1462
1120.000000 90.836 34.3580
1138.000000 90.958 34.5884
1150.000000 91.036 34.7135
1172.000000 91.179 34.8846
1180.000000 91.231 34.9362
1206.000000 91.401 35.0731
1220.000000 91.492 35.1270
1241.000000 91.626 35.2100
1250.000000 91.685 35.2373
1265.000000 91.785 35.2718
1280.000000 91.881 35.2961
1315.000000 92.064 35.3226
1320.000000 92.088 35.3260
1340.000000 92.185 35.3392
1360.000000 92.288 35.3701
1380.000000 92.391 35.3859
1400.000000 92.489 35.4226
1430.000000 92.636 35.4668
1450.000000 92.737 35.5050
1475.000000 92.861 35.5739
1500.000000 92.977 35.6468
1525.000000 93.087 35.6926
1550.000000 93.197 35.7561
1575.000000 93.306 35.8253
1600.000000 93.414 35.8811
1625.000000 93.524 35.9247
1650.000000 93.633 35.9876
1675.000000 93.741 36.0558
1700.000000 93.850 36.1049
1725.000000 93.960 36.1206
1750.000000 94.072 36.1407
1775.000000 94.187 36.1545
1800.000000 94.304 36.1388
1825.000000 94.420 36.1006
1850.000000 94.538 36.0450
1875.000000 94.659 35.9644
1900.000000 94.781 35.8646
1925.000000 94.904 35.7415
1950.000000 95.028 35.5909
1975.000000 95.155 35.4125
2000.000000 95.284 35.2096
2030.000000 95.438 34.9120
2060.000000 95.590 34.5688
2090.000000 95.740 34.1775
2120.000000 95.886 33.7436
2140.000000 95.982 33.4267
2180.000000 96.172 32.7273
2200.000000 96.266 32.3524
2240.000000 96.449 31.5634
2270.000000 96.585 30.9338
2300.000000 96.722 30.2669
2330.000000 96.858 29.5351
2360.000000 96.994 28.7101
2400.000000 97.166 27.4307
2430.000000 97.277 26.3427
2470.000000 97.393 24.8070
2500.000000 97.458 23.6460
2540.000000 97.520 22.1509
2580.000000 97.565 20.7251
2620.000000 97.604 19.3187
2650.000000 97.626 18.2242
2690.000000 97.638 16.6899
2720.000000 97.627 15.5094
2760.000000 97.584 13.9657
2800.000000 97.511 12.5245
2850.000000 97.389 10.9004
2900.000000 97.243 9.4781
2950.000000 97.081 8.2234
3000.000000 96.900 7.1303
3040.000000 96.743 6.3943
3070.000000 96.620 5.9337
3110.000000 96.450 5.4460
3150.000000 96.279 5.1165
3200.000000 96.069 4.8890
3250.000000 95.866 4.7866
3300.000000 95.665 4.7498
3350.000000 95.466 4.7933
3400.000000 95.276 4.9326
3450.000000 95.098 5.1659
3500.000000 94.934 5.4998
3550.000000 94.776 5.9481
3600.000000 94.614 6.5164
3650.000000 94.447 7.2023
3700.000000 94.275 7.9984
3750.000000 94.109 8.8842
3820.000000 93.908 10.3103
3870.000000 93.809 11.4424
3950.000000 93.762 13.3411
4000.000000 93.795 14.5423
4060.000000 93.895 15.8997
4120.000000 94.050 17.0814
4180.000000 94.234 18.0399
4250.000000 94.461 18.8145
4310.000000 94.646 19.1780
4370.000000 94.815 19.3101
4440.000000 94.988 19.2507
4500.000000 95.116 19.0563
4550.000000 95.209 18.8254
4620.000000 95.324 18.4307
4680.000000 95.413 18.0272
4750.000000 95.505 17.4556
4820.000000 95.587 16.7784
4870.000000 95.639 16.2404
4940.000000 95.699 15.3983
5000.000000 95.738 14.5805
5080.000000 95.773 13.3626
5150.000000 95.787 12.1881
5220.000000 95.784 10.9120
